Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:26:22.433000,VER,1,0 days 00:01:54.634000,11.0,1.0,,,0 days 00:00:31.967000,0 days 00:00:51.966000,0 days 00:00:30.701000,0 days 01:24:59.819000,0 days 01:25:51.785000,0 days 01:26:22.486000,339.0,181.0,211.0,313.0,False,SOFT,11.0,True,Red Bull Racing,0 days 01:24:27.799000,,1,2.0,,,False,True
0 days 01:28:15.591000,VER,1,0 days 00:01:53.158000,12.0,1.0,,,0 days 00:00:32.002000,0 days 00:00:50.429000,0 days 00:00:30.727000,0 days 01:26:54.488000,0 days 01:27:44.917000,0 days 01:28:15.644000,338.0,185.0,208.0,313.0,False,SOFT,12.0,True,Red Bull Racing,0 days 01:26:22.433000,,1,1.0,,,False,True
0 days 01:30:09.319000,VER,1,0 days 00:01:53.728000,13.0,1.0,,,0 days 00:00:32.375000,0 days 00:00:50.545000,0 days 00:00:30.808000,0 days 01:28:48.019000,0 days 01:29:38.564000,0 days 01:30:09.372000,316.0,184.0,208.0,309.0,False,SOFT,13.0,True,Red Bull Racing,0 days 01:28:15.591000,,1,1.0,,,False,True
0 days 01:32:03.217000,VER,1,0 days 00:01:53.898000,14.0,1.0,,,0 days 00:00:32.403000,0 days 00:00:50.608000,0 days 00:00:30.887000,0 days 01:30:41.775000,0 days 01:31:32.383000,0 days 01:32:03.270000,314.0,181.0,208.0,309.0,False,SOFT,14.0,True,Red Bull Racing,0 days 01:30:09.319000,,1,1.0,,,False,True
0 days 01:34:01.037000,VER,1,0 days 00:01:57.820000,15.0,1.0,,0 days 01:33:57.329000,0 days 00:00:32.398000,0 days 00:00:50.474000,0 days 00:00:34.948000,0 days 01:32:35.668000,0 days 01:33:26.142000,0 days 01:34:01.090000,314.0,182.0,,309.0,False,SOFT,15.0,True,Red Bull Racing,0 days 01:32:03.217000,,1,1.0,,,False,False
0 days 01:36:06.161000,VER,1,0 days 00:02:05.124000,16.0,2.0,0 days 01:34:20.284000,,0 days 00:00:46.178000,0 days 00:00:48.816000,0 days 00:00:30.130000,0 days 01:34:47.268000,0 days 01:35:36.084000,0 days 01:36:06.214000,313.0,196.0,214.0,308.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:34:01.037000,,1,2.0,,,False,False
0 days 01:37:56.908000,VER,1,0 days 00:01:50.747000,17.0,2.0,,,0 days 00:00:31.876000,0 days 00:00:48.828000,0 days 00:00:30.043000,0 days 01:36:38.090000,0 days 01:37:26.918000,0 days 01:37:56.961000,320.0,188.0,214.0,311.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:36:06.161000,,1,2.0,,,False,True
0 days 01:39:47.956000,VER,1,0 days 00:01:51.048000,18.0,2.0,,,0 days 00:00:31.597000,0 days 00:00:49.219000,0 days 00:00:30.232000,0 days 01:38:28.558000,0 days 01:39:17.777000,0 days 01:39:48.009000,340.0,191.0,211.0,313.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:56.908000,,1,1.0,,,False,True
0 days 01:41:39.869000,VER,1,0 days 00:01:51.913000,19.0,2.0,,,0 days 00:00:32.163000,0 days 00:00:49.387000,0 days 00:00:30.363000,0 days 01:40:20.172000,0 days 01:41:09.559000,0 days 01:41:39.922000,314.0,191.0,211.0,307.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:39:47.956000,,1,1.0,,,False,True
0 days 01:43:32.077000,VER,1,0 days 00:01:52.208000,20.0,2.0,,,0 days 00:00:32.156000,0 days 00:00:49.617000,0 days 00:00:30.435000,0 days 01:42:12.078000,0 days 01:43:01.695000,0 days 01:43:32.130000,316.0,186.0,210.0,308.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:41:39.869000,,1,1.0,,,False,True
0 days 01:45:24.252000,VER,1,0 days 00:01:52.175000,21.0,2.0,,,0 days 00:00:32.197000,0 days 00:00:49.551000,0 days 00:00:30.427000,0 days 01:44:04.327000,0 days 01:44:53.878000,0 days 01:45:24.305000,314.0,189.0,211.0,308.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:43:32.077000,,1,1.0,,,False,True
0 days 01:47:16.634000,VER,1,0 days 00:01:52.382000,22.0,2.0,,,0 days 00:00:32.258000,0 days 00:00:49.647000,0 days 00:00:30.477000,0 days 01:45:56.563000,0 days 01:46:46.210000,0 days 01:47:16.687000,316.0,189.0,211.0,307.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:45:24.252000,,1,1.0,,,False,True
0 days 01:49:08.907000,VER,1,0 days 00:01:52.273000,23.0,2.0,,,0 days 00:00:32.250000,0 days 00:00:49.641000,0 days 00:00:30.382000,0 days 01:47:48.937000,0 days 01:48:38.578000,0 days 01:49:08.960000,314.0,187.0,211.0,309.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:47:16.634000,,1,1.0,,,False,True
0 days 01:51:01.374000,VER,1,0 days 00:01:52.467000,24.0,2.0,,,0 days 00:00:32.197000,0 days 00:00:49.849000,0 days 00:00:30.421000,0 days 01:49:41.157000,0 days 01:50:31.006000,0 days 01:51:01.427000,317.0,184.0,210.0,310.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:49:08.907000,,1,1.0,,,False,True
0 days 01:52:53.929000,VER,1,0 days 00:01:52.555000,25.0,2.0,,,0 days 00:00:32.154000,0 days 00:00:49.856000,0 days 00:00:30.545000,0 days 01:51:33.581000,0 days 01:52:23.437000,0 days 01:52:53.982000,319.0,188.0,211.0,312.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:51:01.374000,,1,1.0,,,False,True
0 days 01:54:46.455000,VER,1,0 days 00:01:52.526000,26.0,2.0,,,0 days 00:00:32.130000,0 days 00:00:49.803000,0 days 00:00:30.593000,0 days 01:53:26.112000,0 days 01:54:15.915000,0 days 01:54:46.508000,319.0,187.0,211.0,310.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:52:53.929000,,1,1.0,,,False,True
0 days 01:56:39.324000,VER,1,0 days 00:01:52.869000,27.0,2.0,,,0 days 00:00:32.261000,0 days 00:00:50.079000,0 days 00:00:30.529000,0 days 01:55:18.769000,0 days 01:56:08.848000,0 days 01:56:39.377000,318.0,189.0,211.0,309.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:54:46.455000,,1,1.0,,,False,True
0 days 01:58:32.034000,VER,1,0 days 00:01:52.710000,28.0,2.0,,,0 days 00:00:32.101000,0 days 00:00:50.024000,0 days 00:00:30.585000,0 days 01:57:11.478000,0 days 01:58:01.502000,0 days 01:58:32.087000,320.0,187.0,210.0,310.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:56:39.324000,,1,1.0,,,False,True
0 days 02:00:24.796000,VER,1,0 days 00:01:52.762000,29.0,2.0,,,0 days 00:00:32.189000,0 days 00:00:49.960000,0 days 00:00:30.613000,0 days 01:59:04.276000,0 days 01:59:54.236000,0 days 02:00:24.849000,321.0,183.0,212.0,311.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:58:32.034000,,1,1.0,,,False,True
0 days 02:02:21.927000,VER,1,0 days 00:01:57.131000,30.0,2.0,,0 days 02:02:18.225000,0 days 00:00:32.104000,0 days 00:00:50.167000,0 days 00:00:34.860000,0 days 02:00:56.953000,0 days 02:01:47.120000,0 days 02:02:21.980000,321.0,180.0,,313.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 02:00:24.796000,,1,1.0,,,False,False
0 days 02:04:25.591000,VER,1,0 days 00:02:03.664000,31.0,3.0,0 days 02:02:40.574000,,0 days 00:00:45.614000,0 days 00:00:48.045000,0 days 00:00:30.005000,0 days 02:03:07.594000,0 days 02:03:55.639000,0 days 02:04:25.644000,314.0,199.0,217.0,309.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 02:02:21.927000,,1,1.0,,,False,False
0 days 02:06:14.945000,VER,1,0 days 00:01:49.354000,32.0,3.0,,,0 days 00:00:31.680000,0 days 00:00:47.810000,0 days 00:00:29.864000,0 days 02:04:57.324000,0 days 02:05:45.134000,0 days 02:06:14.998000,317.0,197.0,215.0,310.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 02:04:25.591000,,1,1.0,,,False,True
0 days 02:08:06.089000,VER,1,0 days 00:01:51.144000,33.0,3.0,,,0 days 00:00:31.870000,0 days 00:00:49.122000,0 days 00:00:30.152000,0 days 02:06:46.868000,0 days 02:07:35.990000,0 days 02:08:06.142000,315.0,192.0,214.0,313.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 02:06:14.945000,,1,1.0,,,False,True
0 days 02:09:57.123000,VER,1,0 days 00:01:51.034000,34.0,3.0,,,0 days 00:00:31.831000,0 days 00:00:49.139000,0 days 00:00:30.064000,0 days 02:08:37.973000,0 days 02:09:27.112000,0 days 02:09:57.176000,319.0,194.0,214.0,312.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 02:08:06.089000,,1,1.0,,,False,True
0 days 02:11:48.592000,VER,1,0 days 00:01:51.469000,35.0,3.0,,,0 days 00:00:32.051000,0 days 00:00:49.129000,0 days 00:00:30.289000,0 days 02:10:29.227000,0 days 02:11:18.356000,0 days 02:11:48.645000,321.0,192.0,215.0,303.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 02:09:57.123000,,1,1.0,,,False,True
0 days 02:13:40.143000,VER,1,0 days 00:01:51.551000,36.0,3.0,,,0 days 00:00:32.022000,0 days 00:00:49.168000,0 days 00:00:30.361000,0 days 02:12:20.667000,0 days 02:13:09.835000,0 days 02:13:40.196000,321.0,188.0,212.0,304.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 02:11:48.592000,,1,1.0,,,False,True
0 days 02:15:31.730000,VER,1,0 days 00:01:51.587000,37.0,3.0,,,0 days 00:00:32.092000,0 days 00:00:49.044000,0 days 00:00:30.451000,0 days 02:14:12.288000,0 days 02:15:01.332000,0 days 02:15:31.783000,320.0,190.0,211.0,304.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 02:13:40.143000,,1,1.0,,,False,True
0 days 02:17:23.243000,VER,1,0 days 00:01:51.513000,38.0,3.0,,,0 days 00:00:32.082000,0 days 00:00:49.215000,0 days 00:00:30.216000,0 days 02:16:03.865000,0 days 02:16:53.080000,0 days 02:17:23.296000,321.0,190.0,212.0,305.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 02:15:31.730000,,1,1.0,,,False,True
0 days 02:19:15.503000,VER,1,0 days 00:01:52.260000,39.0,3.0,,,0 days 00:00:32.102000,0 days 00:00:49.548000,0 days 00:00:30.610000,0 days 02:17:55.398000,0 days 02:18:44.946000,0 days 02:19:15.556000,317.0,190.0,213.0,302.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 02:17:23.243000,,1,1.0,,,False,True
0 days 02:21:07.392000,VER,1,0 days 00:01:51.889000,40.0,3.0,,,0 days 00:00:31.976000,0 days 00:00:49.360000,0 days 00:00:30.553000,0 days 02:19:47.532000,0 days 02:20:36.892000,0 days 02:21:07.445000,315.0,189.0,213.0,306.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 02:19:15.503000,,1,1.0,,,False,True
0 days 02:22:59.557000,VER,1,0 days 00:01:52.165000,41.0,3.0,,,0 days 00:00:32.050000,0 days 00:00:49.487000,0 days 00:00:30.628000,0 days 02:21:39.495000,0 days 02:22:28.982000,0 days 02:22:59.610000,315.0,188.0,212.0,304.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 02:21:07.392000,,1,1.0,,,False,True
0 days 02:24:51.714000,VER,1,0 days 00:01:52.157000,42.0,3.0,,,0 days 00:00:32.149000,0 days 00:00:49.406000,0 days 00:00:30.602000,0 days 02:23:31.759000,0 days 02:24:21.165000,0 days 02:24:51.767000,319.0,188.0,213.0,303.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 02:22:59.557000,,1,1.0,,,False,True
0 days 02:26:44.445000,VER,1,0 days 00:01:52.731000,43.0,3.0,,,0 days 00:00:32.179000,0 days 00:00:49.988000,0 days 00:00:30.564000,0 days 02:25:23.946000,0 days 02:26:13.934000,0 days 02:26:44.498000,315.0,190.0,213.0,303.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 02:24:51.714000,,1,1.0,,,False,True
0 days 02:28:37.594000,VER,1,0 days 00:01:53.149000,44.0,3.0,,,0 days 00:00:32.047000,0 days 00:00:49.868000,0 days 00:00:31.234000,0 days 02:27:16.545000,0 days 02:28:06.413000,0 days 02:28:37.647000,321.0,189.0,187.0,304.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 02:26:44.445000,,1,1.0,,,False,True
0 days 01:04:51.843000,GAS,10,0 days 00:02:07.058000,1.0,1.0,0 days 01:02:57.308000,,,0 days 00:00:53.512000,0 days 00:00:32.574000,,0 days 01:04:19.306000,0 days 01:04:51.865000,325.0,179.0,212.0,295.0,False,MEDIUM,1.0,True,AlphaTauri,0 days 01:02:44.500000,,12,19.0,,,False,False
0 days 01:07:23.623000,GAS,10,,2.0,1.0,,,0 days 00:00:32.598000,0 days 00:01:14.300000,0 days 00:00:44.937000,0 days 01:05:24.460000,0 days 01:06:38.778000,0 days 01:07:23.645000,299.0,134.0,176.0,308.0,False,MEDIUM,2.0,True,AlphaTauri,0 days 01:04:51.843000,,124,17.0,,,False,False
0 days 01:10:22.762000,GAS,10,,3.0,1.0,,,0 days 00:00:43.658000,0 days 00:01:23.356000,0 days 00:00:52.066000,0 days 01:08:07.362000,0 days 01:09:30.774000,0 days 01:10:22.813000,168.0,126.0,192.0,263.0,False,MEDIUM,3.0,True,AlphaTauri,0 days 01:07:23.623000,,4,17.0,,,False,False
0 days 01:13:11.935000,GAS,10,,4.0,1.0,,,0 days 00:00:50.370000,0 days 00:01:16.965000,0 days 00:00:41.904000,0 days 01:11:13.200000,0 days 01:12:30.174000,0 days 01:13:12.015000,143.0,184.0,213.0,195.0,False,MEDIUM,4.0,True,AlphaTauri,0 days 01:10:22.762000,,41,16.0,,,False,False
0 days 01:15:07.288000,GAS,10,0 days 00:01:55.353000,5.0,1.0,,,0 days 00:00:32.010000,0 days 00:00:52.819000,0 days 00:00:30.524000,0 days 01:13:43.967000,0 days 01:14:36.786000,0 days 01:15:07.310000,328.0,184.0,212.0,310.0,True,MEDIUM,5.0,True,AlphaTauri,0 days 01:13:11.935000,,1,15.0,,,False,True
0 days 01:17:02.721000,GAS,10,0 days 00:01:55.433000,6.0,1.0,,,0 days 00:00:32.390000,0 days 00:00:52.262000,0 days 00:00:30.781000,0 days 01:15:39.700000,0 days 01:16:31.962000,0 days 01:17:02.743000,318.0,185.0,211.0,311.0,False,MEDIUM,6.0,True,AlphaTauri,0 days 01:15:07.288000,,1,15.0,,,False,True
0 days 01:18:58.437000,GAS,10,0 days 00:01:55.716000,7.0,1.0,,,0 days 00:00:32.050000,0 days 00:00:52.584000,0 days 00:00:31.082000,0 days 01:17:34.793000,0 days 01:18:27.377000,0 days 01:18:58.459000,333.0,185.0,209.0,312.0,False,MEDIUM,7.0,True,AlphaTauri,0 days 01:17:02.721000,,1,15.0,,,False,True
0 days 01:20:55.549000,GAS,10,0 days 00:01:57.112000,8.0,1.0,,,0 days 00:00:32.029000,0 days 00:00:53.962000,0 days 00:00:31.121000,0 days 01:19:30.488000,0 days 01:20:24.450000,0 days 01:20:55.571000,345.0,181.0,209.0,311.0,False,MEDIUM,8.0,True,AlphaTauri,0 days 01:18:58.437000,,1,16.0,,,False,True
0 days 01:22:52.781000,GAS,10,0 days 00:01:57.232000,9.0,1.0,,,0 days 00:00:32.417000,0 days 00:00:53.249000,0 days 00:00:31.566000,0 days 01:21:27.988000,0 days 01:22:21.237000,0 days 01:22:52.803000,341.0,174.0,206.0,305.0,False,MEDIUM,9.0,True,AlphaTauri,0 days 01:20:55.549000,,1,16.0,,,False,True
0 days 01:24:53.762000,GAS,10,0 days 00:02:00.981000,10.0,1.0,,0 days 01:24:50.072000,0 days 00:00:32.187000,0 days 00:00:53.560000,0 days 00:00:35.234000,0 days 01:23:24.990000,0 days 01:24:18.550000,0 days 01:24:53.784000,338.0,174.0,,309.0,False,MEDIUM,10.0,True,AlphaTauri,0 days 01:22:52.781000,,1,18.0,,,False,False
0 days 01:27:01.523000,GAS,10,0 days 00:02:07.761000,11.0,2.0,0 days 01:25:12.903000,,0 days 00:00:46.742000,0 days 00:00:50.506000,0 days 00:00:30.513000,0 days 01:25:40.526000,0 days 01:26:31.032000,0 days 01:27:01.545000,311.0,188.0,212.0,299.0,False,HARD,1.0,True,AlphaTauri,0 days 01:24:53.762000,,1,18.0,,,False,False
0 days 01:28:55.161000,GAS,10,0 days 00:01:53.638000,12.0,2.0,,,0 days 00:00:32.286000,0 days 00:00:50.793000,0 days 00:00:30.559000,0 days 01:27:33.831000,0 days 01:28:24.624000,0 days 01:28:55.183000,311.0,186.0,210.0,308.0,True,HARD,2.0,True,AlphaTauri,0 days 01:27:01.523000,,1,17.0,,,False,True
0 days 01:30:49.730000,GAS,10,0 days 00:01:54.569000,13.0,2.0,,,0 days 00:00:32.174000,0 days 00:00:51.592000,0 days 00:00:30.803000,0 days 01:29:27.357000,0 days 01:30:18.949000,0 days 01:30:49.752000,321.0,183.0,209.0,310.0,False,HARD,3.0,True,AlphaTauri,0 days 01:28:55.161000,,1,17.0,,,False,True
0 days 01:32:44.276000,GAS,10,0 days 00:01:54.546000,14.0,2.0,,,0 days 00:00:32.322000,0 days 00:00:51.519000,0 days 00:00:30.705000,0 days 01:31:22.074000,0 days 01:32:13.593000,0 days 01:32:44.298000,313.0,183.0,210.0,310.0,False,HARD,4.0,True,AlphaTauri,0 days 01:30:49.730000,,1,15.0,,,False,True
0 days 01:34:39.011000,GAS,10,0 days 00:01:54.735000,15.0,2.0,,,0 days 00:00:32.214000,0 days 00:00:51.633000,0 days 00:00:30.888000,0 days 01:33:16.512000,0 days 01:34:08.145000,0 days 01:34:39.033000,317.0,182.0,210.0,312.0,False,HARD,5.0,True,AlphaTauri,0 days 01:32:44.276000,,1,13.0,,,False,True
0 days 01:36:33.951000,GAS,10,0 days 00:01:54.940000,16.0,2.0,,,0 days 00:00:32.393000,0 days 00:00:51.643000,0 days 00:00:30.904000,0 days 01:35:11.426000,0 days 01:36:03.069000,0 days 01:36:33.973000,318.0,183.0,208.0,312.0,False,HARD,6.0,True,AlphaTauri,0 days 01:34:39.011000,,1,12.0,,,False,True
0 days 01:38:28.205000,GAS,10,0 days 00:01:54.254000,17.0,2.0,,,0 days 00:00:32.311000,0 days 00:00:51.408000,0 days 00:00:30.535000,0 days 01:37:06.284000,0 days 01:37:57.692000,0 days 01:38:28.227000,320.0,184.0,211.0,311.0,False,HARD,7.0,True,AlphaTauri,0 days 01:36:33.951000,,1,12.0,,,False,True
0 days 01:40:23.026000,GAS,10,0 days 00:01:54.821000,18.0,2.0,,,0 days 00:00:32.393000,0 days 00:00:51.710000,0 days 00:00:30.718000,0 days 01:39:00.620000,0 days 01:39:52.330000,0 days 01:40:23.048000,314.0,185.0,209.0,310.0,False,HARD,8.0,True,AlphaTauri,0 days 01:38:28.205000,,1,12.0,,,False,True
0 days 01:42:18.497000,GAS,10,0 days 00:01:55.471000,19.0,2.0,,,0 days 00:00:32.507000,0 days 00:00:51.896000,0 days 00:00:31.068000,0 days 01:40:55.555000,0 days 01:41:47.451000,0 days 01:42:18.519000,313.0,182.0,208.0,310.0,False,HARD,9.0,True,AlphaTauri,0 days 01:40:23.026000,,1,11.0,,,False,True
0 days 01:44:13.929000,GAS,10,0 days 00:01:55.432000,20.0,2.0,,,0 days 00:00:32.465000,0 days 00:00:52.011000,0 days 00:00:30.956000,0 days 01:42:50.984000,0 days 01:43:42.995000,0 days 01:44:13.951000,341.0,180.0,210.0,313.0,False,HARD,10.0,True,AlphaTauri,0 days 01:42:18.497000,,1,11.0,,,False,True
0 days 01:46:10.010000,GAS,10,0 days 00:01:56.081000,21.0,2.0,,,0 days 00:00:32.482000,0 days 00:00:52.845000,0 days 00:00:30.754000,0 days 01:44:46.433000,0 days 01:45:39.278000,0 days 01:46:10.032000,320.0,183.0,208.0,309.0,False,HARD,11.0,True,AlphaTauri,0 days 01:44:13.929000,,1,12.0,,,False,True
0 days 01:48:09.525000,GAS,10,0 days 00:01:59.515000,22.0,2.0,,0 days 01:48:05.809000,0 days 00:00:32.374000,0 days 00:00:52.089000,0 days 00:00:35.052000,0 days 01:46:42.406000,0 days 01:47:34.495000,0 days 01:48:09.547000,316.0,179.0,,311.0,False,HARD,12.0,True,AlphaTauri,0 days 01:46:10.010000,,1,14.0,,,False,False
0 days 01:50:16.260000,GAS,10,0 days 00:02:06.735000,23.0,3.0,0 days 01:48:28.371000,,0 days 00:00:45.919000,0 days 00:00:50.519000,0 days 00:00:30.297000,0 days 01:48:55.466000,0 days 01:49:45.985000,0 days 01:50:16.282000,317.0,191.0,212.0,307.0,False,SOFT,1.0,True,AlphaTauri,0 days 01:48:09.525000,,1,17.0,,,False,False
0 days 01:52:09.262000,GAS,10,0 days 00:01:53.002000,24.0,3.0,,,0 days 00:00:31.959000,0 days 00:00:50.644000,0 days 00:00:30.399000,0 days 01:50:48.241000,0 days 01:51:38.885000,0 days 01:52:09.284000,335.0,188.0,212.0,314.0,True,SOFT,2.0,True,AlphaTauri,0 days 01:50:16.260000,,1,16.0,,,False,True
0 days 01:54:02.730000,GAS,10,0 days 00:01:53.468000,25.0,3.0,,,0 days 00:00:32.117000,0 days 00:00:50.665000,0 days 00:00:30.686000,0 days 01:52:41.401000,0 days 01:53:32.066000,0 days 01:54:02.752000,316.0,188.0,211.0,309.0,False,SOFT,3.0,True,AlphaTauri,0 days 01:52:09.262000,,1,16.0,,,False,True
0 days 01:55:56.991000,GAS,10,0 days 00:01:54.261000,26.0,3.0,,,0 days 00:00:32.118000,0 days 00:00:51.073000,0 days 00:00:31.070000,0 days 01:54:34.870000,0 days 01:55:25.943000,0 days 01:55:57.013000,320.0,188.0,209.0,311.0,False,SOFT,4.0,True,AlphaTauri,0 days 01:54:02.730000,,1,16.0,,,False,True
0 days 01:57:50.854000,GAS,10,0 days 00:01:53.863000,27.0,3.0,,,0 days 00:00:32.008000,0 days 00:00:51.294000,0 days 00:00:30.561000,0 days 01:56:29.021000,0 days 01:57:20.315000,0 days 01:57:50.876000,333.0,186.0,209.0,315.0,False,SOFT,5.0,True,AlphaTauri,0 days 01:55:56.991000,,1,13.0,,,False,True
0 days 01:59:44.414000,GAS,10,0 days 00:01:53.560000,28.0,3.0,,,0 days 00:00:32.115000,0 days 00:00:50.610000,0 days 00:00:30.835000,0 days 01:58:22.991000,0 days 01:59:13.601000,0 days 01:59:44.436000,320.0,187.0,208.0,312.0,False,SOFT,6.0,True,AlphaTauri,0 days 01:57:50.854000,,1,12.0,,,False,True
0 days 02:01:37.923000,GAS,10,0 days 00:01:53.509000,29.0,3.0,,,0 days 00:00:32.259000,0 days 00:00:50.553000,0 days 00:00:30.697000,0 days 02:00:16.695000,0 days 02:01:07.248000,0 days 02:01:37.945000,317.0,185.0,209.0,311.0,False,SOFT,7.0,True,AlphaTauri,0 days 01:59:44.414000,,1,11.0,,,False,True
0 days 02:03:31.349000,GAS,10,0 days 00:01:53.426000,30.0,3.0,,,0 days 00:00:32.211000,0 days 00:00:50.563000,0 days 00:00:30.652000,0 days 02:02:10.156000,0 days 02:03:00.719000,0 days 02:03:31.371000,316.0,184.0,211.0,312.0,False,SOFT,8.0,True,AlphaTauri,0 days 02:01:37.923000,,1,10.0,,,False,True
