Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:34:37.116000,GAS,10,0 days 00:01:26.537000,1.0,1.0,,,,0 days 00:00:28.990000,0 days 00:00:27.223000,,0 days 00:34:09.903000,0 days 00:34:37.339000,209.0,253.0,278.0,285.0,False,SOFT,4.0,False,AlphaTauri,0 days 00:33:10.426000,,12,5.0,,,False,False
0 days 00:35:58.909000,GAS,10,0 days 00:01:21.793000,2.0,1.0,,,0 days 00:00:26.188000,0 days 00:00:28.369000,0 days 00:00:27.236000,0 days 00:35:03.314000,0 days 00:35:31.683000,0 days 00:35:58.919000,212.0,254.0,277.0,286.0,True,SOFT,5.0,False,AlphaTauri,0 days 00:34:37.116000,,1,5.0,,,False,True
0 days 00:37:19.744000,GAS,10,0 days 00:01:20.835000,3.0,1.0,,,0 days 00:00:25.975000,0 days 00:00:27.977000,0 days 00:00:26.883000,0 days 00:36:24.894000,0 days 00:36:52.871000,0 days 00:37:19.754000,217.0,255.0,277.0,289.0,True,SOFT,6.0,False,AlphaTauri,0 days 00:35:58.909000,,1,5.0,,,False,True
0 days 00:38:40.581000,GAS,10,0 days 00:01:20.837000,4.0,1.0,,,0 days 00:00:25.742000,0 days 00:00:28.066000,0 days 00:00:27.029000,0 days 00:37:45.496000,0 days 00:38:13.562000,0 days 00:38:40.591000,215.0,253.0,277.0,285.0,False,SOFT,7.0,False,AlphaTauri,0 days 00:37:19.744000,,1,5.0,,,False,True
0 days 00:40:00.984000,GAS,10,0 days 00:01:20.403000,5.0,1.0,,,0 days 00:00:25.510000,0 days 00:00:27.974000,0 days 00:00:26.919000,0 days 00:39:06.101000,0 days 00:39:34.075000,0 days 00:40:00.994000,219.0,256.0,279.0,289.0,True,SOFT,8.0,False,AlphaTauri,0 days 00:38:40.581000,,1,5.0,,,False,True
0 days 00:41:21.800000,GAS,10,0 days 00:01:20.816000,6.0,1.0,,,0 days 00:00:25.503000,0 days 00:00:28.323000,0 days 00:00:26.990000,0 days 00:40:26.497000,0 days 00:40:54.820000,0 days 00:41:21.810000,216.0,252.0,278.0,285.0,False,SOFT,9.0,False,AlphaTauri,0 days 00:40:00.984000,,1,5.0,,,False,True
0 days 00:42:42.246000,GAS,10,0 days 00:01:20.446000,7.0,1.0,,,0 days 00:00:25.597000,0 days 00:00:27.869000,0 days 00:00:26.980000,0 days 00:41:47.407000,0 days 00:42:15.276000,0 days 00:42:42.256000,218.0,257.0,278.0,289.0,False,SOFT,10.0,False,AlphaTauri,0 days 00:41:21.800000,,1,5.0,,,False,True
0 days 00:44:07.366000,GAS,10,0 days 00:01:25.120000,8.0,1.0,,0 days 00:44:03.378000,0 days 00:00:25.489000,0 days 00:00:28.089000,0 days 00:00:31.542000,0 days 00:43:07.745000,0 days 00:43:35.834000,0 days 00:44:07.376000,220.0,255.0,,286.0,False,SOFT,11.0,False,AlphaTauri,0 days 00:42:42.246000,,1,7.0,,,False,False
0 days 00:34:40.775000,PER,11,0 days 00:01:30.196000,1.0,1.0,,,,0 days 00:00:30.107000,0 days 00:00:27.988000,,0 days 00:34:12.889000,0 days 00:34:41.032000,208.0,256.0,282.0,289.0,False,MEDIUM,1.0,True,Racing Point,0 days 00:33:10.426000,,12,11.0,,,False,False
0 days 00:36:03.692000,PER,11,0 days 00:01:22.917000,2.0,1.0,,,0 days 00:00:26.832000,0 days 00:00:28.604000,0 days 00:00:27.481000,0 days 00:35:07.659000,0 days 00:35:36.263000,0 days 00:36:03.744000,218.0,257.0,278.0,291.0,True,MEDIUM,2.0,True,Racing Point,0 days 00:34:40.775000,,1,11.0,,,False,True
