Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 04:19:26.382000,VER,33,0 days 00:03:27.071000,1.0,1.0,0 days 04:16:05.434000,,,0 days 00:01:36.992000,0 days 00:00:53.620000,,0 days 04:18:32.857000,0 days 04:19:26.547000,140.0,132.0,159.0,121.0,False,UNKNOWN,1.0,False,Red Bull Racing,0 days 04:15:59.115000,,1,1.0,,,False,False
0 days 04:22:44.731000,VER,33,,2.0,1.0,,,0 days 00:00:54.169000,0 days 00:01:32.540000,0 days 00:00:51.665000,0 days 04:20:20.657000,0 days 04:21:53.161000,0 days 04:22:44.922000,178.0,116.0,157.0,129.0,False,UNKNOWN,2.0,False,Red Bull Racing,0 days 04:19:26.382000,,1,1.0,,,False,False
0 days 04:26:08.687000,VER,33,,3.0,1.0,,0 days 04:26:04.656000,0 days 00:00:52.264000,0 days 00:01:32.729000,0 days 00:00:59.005000,0 days 04:23:37.097000,0 days 04:25:09.777000,0 days 04:26:09.006000,166.0,110.0,,125.0,False,UNKNOWN,3.0,False,Red Bull Racing,0 days 04:22:44.731000,,15,1.0,,,False,False
0 days 04:19:28.437000,RUS,63,0 days 00:03:29.066000,1.0,1.0,0 days 04:16:08.396000,,,0 days 00:01:36.790000,0 days 00:00:54.536000,,0 days 04:18:33.958000,0 days 04:19:28.523000,150.0,119.0,162.0,119.0,False,UNKNOWN,1.0,False,Williams,0 days 04:15:59.115000,,1,2.0,,,False,False
0 days 04:22:47.156000,RUS,63,,2.0,1.0,,,0 days 00:00:54.706000,0 days 00:01:32.105000,0 days 00:00:51.993000,0 days 04:20:23.115000,0 days 04:21:55.255000,0 days 04:22:47.329000,197.0,120.0,160.0,142.0,False,UNKNOWN,2.0,False,Williams,0 days 04:19:28.437000,,1,2.0,,,False,False
0 days 04:26:10.546000,RUS,63,,3.0,1.0,,0 days 04:26:06.501000,0 days 00:00:51.848000,0 days 00:01:32.934000,0 days 00:00:58.604000,0 days 04:23:39.119000,0 days 04:25:11.999000,0 days 04:26:10.671000,171.0,115.0,,146.0,False,UNKNOWN,3.0,False,Williams,0 days 04:22:47.156000,,15,2.0,,,False,False
0 days 04:19:28.918000,HAM,44,0 days 00:03:29.672000,1.0,1.0,0 days 04:16:11.245000,,,0 days 00:01:36.890000,0 days 00:00:53.917000,,0 days 04:18:35.133000,0 days 04:19:29.120000,144.0,104.0,154.0,120.0,False,UNKNOWN,1.0,False,Mercedes,0 days 04:15:59.115000,,1,3.0,,,False,False
0 days 04:22:48.059000,HAM,44,,2.0,1.0,,,0 days 00:00:55.741000,0 days 00:01:32.236000,0 days 00:00:51.124000,0 days 04:20:24.848000,0 days 04:21:57.067000,0 days 04:22:48.242000,158.0,94.0,164.0,159.0,False,UNKNOWN,2.0,False,Mercedes,0 days 04:19:28.918000,,1,3.0,,,False,False
0 days 04:26:13.170000,HAM,44,,3.0,1.0,,0 days 04:26:08.180000,0 days 00:00:53.382000,0 days 00:01:31.206000,0 days 00:01:00.572000,0 days 04:23:41.540000,0 days 04:25:12.730000,0 days 04:26:13.436000,167.0,116.0,,114.0,False,UNKNOWN,3.0,False,Mercedes,0 days 04:22:48.059000,,15,3.0,,,False,False
0 days 04:19:30.915000,RIC,3,0 days 00:03:31.567000,1.0,1.0,0 days 04:16:14.826000,,,0 days 00:01:36.334000,0 days 00:00:54.696000,,0 days 04:18:36.276000,0 days 04:19:31.012000,132.0,125.0,136.0,150.0,False,UNKNOWN,1.0,False,McLaren,0 days 04:15:59.115000,,1,4.0,,,False,False
