Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:05.876000,VER,1,0 days 00:01:38.082000,1.0,1.0,,,,0 days 00:00:30.360000,0 days 00:00:29.775000,,0 days 01:03:36.179000,0 days 01:04:05.969000,281.0,298.0,290.0,301.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:27.563000,,1,3.0,,,False,False
0 days 01:05:41.151000,VER,1,0 days 00:01:35.275000,2.0,1.0,,,0 days 00:00:35.387000,0 days 00:00:30.255000,0 days 00:00:29.633000,0 days 01:04:41.334000,0 days 01:05:11.589000,0 days 01:05:41.222000,279.0,300.0,291.0,302.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:04:05.876000,,1,3.0,,,False,True
0 days 01:07:16.041000,VER,1,0 days 00:01:34.890000,3.0,1.0,,,0 days 00:00:35.145000,0 days 00:00:30.204000,0 days 00:00:29.541000,0 days 01:06:16.367000,0 days 01:06:46.571000,0 days 01:07:16.112000,282.0,301.0,290.0,304.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:05:41.151000,,1,3.0,,,False,True
0 days 01:08:50.741000,VER,1,0 days 00:01:34.700000,4.0,1.0,,,0 days 00:00:35.025000,0 days 00:00:30.238000,0 days 00:00:29.437000,0 days 01:07:51.137000,0 days 01:08:21.375000,0 days 01:08:50.812000,282.0,302.0,291.0,307.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:07:16.041000,,1,3.0,,,False,True
0 days 01:10:25.550000,VER,1,0 days 00:01:34.809000,5.0,1.0,,,0 days 00:00:35.107000,0 days 00:00:30.147000,0 days 00:00:29.555000,0 days 01:09:25.919000,0 days 01:09:56.066000,0 days 01:10:25.621000,282.0,303.0,290.0,307.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:08:50.741000,,1,3.0,,,False,True
0 days 01:12:00.390000,VER,1,0 days 00:01:34.840000,6.0,1.0,,,0 days 00:00:35.157000,0 days 00:00:30.156000,0 days 00:00:29.527000,0 days 01:11:00.778000,0 days 01:11:30.934000,0 days 01:12:00.461000,284.0,303.0,291.0,309.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:10:25.550000,,1,3.0,,,False,True
0 days 01:13:35.024000,VER,1,0 days 00:01:34.634000,7.0,1.0,,,0 days 00:00:35.083000,0 days 00:00:30.108000,0 days 00:00:29.443000,0 days 01:12:35.544000,0 days 01:13:05.652000,0 days 01:13:35.095000,282.0,304.0,291.0,307.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:12:00.390000,,1,3.0,,,False,True
0 days 01:15:09.845000,VER,1,0 days 00:01:34.821000,8.0,1.0,,,0 days 00:00:35.108000,0 days 00:00:30.194000,0 days 00:00:29.519000,0 days 01:14:10.203000,0 days 01:14:40.397000,0 days 01:15:09.916000,284.0,304.0,291.0,307.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:35.024000,,1,3.0,,,False,True
0 days 01:16:44.677000,VER,1,0 days 00:01:34.832000,9.0,1.0,,,0 days 00:00:35.150000,0 days 00:00:30.248000,0 days 00:00:29.434000,0 days 01:15:45.066000,0 days 01:16:15.314000,0 days 01:16:44.748000,281.0,304.0,291.0,307.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:15:09.845000,,1,3.0,,,False,True
0 days 01:18:19.929000,VER,1,0 days 00:01:35.252000,10.0,1.0,,,0 days 00:00:35.219000,0 days 00:00:30.413000,0 days 00:00:29.620000,0 days 01:17:19.967000,0 days 01:17:50.380000,0 days 01:18:20,282.0,303.0,291.0,306.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:16:44.677000,,1,3.0,,,False,True
0 days 01:19:54.888000,VER,1,0 days 00:01:34.959000,11.0,1.0,,,0 days 00:00:35.104000,0 days 00:00:30.262000,0 days 00:00:29.593000,0 days 01:18:55.104000,0 days 01:19:25.366000,0 days 01:19:54.959000,283.0,302.0,290.0,305.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:18:19.929000,,1,3.0,,,False,True
0 days 01:21:30.079000,VER,1,0 days 00:01:35.191000,12.0,1.0,,,0 days 00:00:35.303000,0 days 00:00:30.273000,0 days 00:00:29.615000,0 days 01:20:30.262000,0 days 01:21:00.535000,0 days 01:21:30.150000,283.0,302.0,290.0,303.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:19:54.888000,,1,3.0,,,False,True
0 days 01:23:05.061000,VER,1,0 days 00:01:34.982000,13.0,1.0,,,0 days 00:00:35.203000,0 days 00:00:30.242000,0 days 00:00:29.537000,0 days 01:22:05.353000,0 days 01:22:35.595000,0 days 01:23:05.132000,283.0,303.0,291.0,303.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:21:30.079000,,1,3.0,,,False,True
0 days 01:24:40.154000,VER,1,0 days 00:01:35.093000,14.0,1.0,,,0 days 00:00:35.142000,0 days 00:00:30.279000,0 days 00:00:29.672000,0 days 01:23:40.274000,0 days 01:24:10.553000,0 days 01:24:40.225000,282.0,304.0,291.0,305.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:23:05.061000,,1,3.0,,,False,True
0 days 01:26:15.524000,VER,1,0 days 00:01:35.370000,15.0,1.0,,,0 days 00:00:35.190000,0 days 00:00:30.526000,0 days 00:00:29.654000,0 days 01:25:15.415000,0 days 01:25:45.941000,0 days 01:26:15.595000,283.0,304.0,291.0,305.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:24:40.154000,,1,3.0,,,False,True
0 days 01:28:00.101000,VER,1,0 days 00:01:44.577000,16.0,1.0,,0 days 01:27:59.039000,0 days 00:00:35.375000,0 days 00:00:30.273000,0 days 00:00:38.929000,0 days 01:26:50.970000,0 days 01:27:21.243000,0 days 01:28:00.172000,281.0,304.0,,133.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:26:15.524000,,1264,2.0,,,False,False
0 days 01:31:02.769000,VER,1,,17.0,2.0,0 days 01:28:19.770000,,0 days 00:01:07.639000,0 days 00:00:51.363000,0 days 00:01:03.656000,0 days 01:29:07.821000,0 days 01:29:59.278000,0 days 01:31:02.860000,229.0,144.0,212.0,177.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:28:00.101000,,4,2.0,,,False,False
