Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:13.755000,HAM,44,0 days 00:01:46.407000,1.0,1.0,,,,0 days 00:00:29.072000,0 days 00:00:49.841000,,0 days 00:34:23.989000,0 days 00:35:14.230000,274.0,260.0,228.0,291.0,False,MEDIUM,4.0,False,Mercedes,0 days 00:33:27.137000,,126,1.0,,,False,False
0 days 00:37:02.448000,HAM,44,0 days 00:01:48.693000,2.0,1.0,,,0 days 00:00:33.776000,0 days 00:00:32.240000,0 days 00:00:42.677000,0 days 00:35:47.558000,0 days 00:36:19.798000,0 days 00:37:02.475000,172.0,265.0,255.0,304.0,True,MEDIUM,5.0,False,Mercedes,0 days 00:35:13.755000,,671,1.0,,,False,False
0 days 00:38:40.567000,HAM,44,0 days 00:01:38.119000,3.0,1.0,,,0 days 00:00:25.952000,0 days 00:00:29.321000,0 days 00:00:42.846000,0 days 00:37:28.427000,0 days 00:37:57.748000,0 days 00:38:40.594000,263.0,254.0,256.0,296.0,True,MEDIUM,6.0,False,Mercedes,0 days 00:37:02.448000,,1,1.0,,,False,True
0 days 00:40:19.089000,HAM,44,0 days 00:01:38.522000,4.0,1.0,,,0 days 00:00:26.152000,0 days 00:00:29.452000,0 days 00:00:42.918000,0 days 00:39:06.746000,0 days 00:39:36.198000,0 days 00:40:19.116000,265.0,256.0,257.0,303.0,False,MEDIUM,7.0,False,Mercedes,0 days 00:38:40.567000,,1,1.0,,,False,True
0 days 00:41:57.590000,HAM,44,0 days 00:01:38.501000,5.0,1.0,,,0 days 00:00:26.163000,0 days 00:00:29.387000,0 days 00:00:42.951000,0 days 00:40:45.279000,0 days 00:41:14.666000,0 days 00:41:57.617000,265.0,259.0,257.0,304.0,False,MEDIUM,8.0,False,Mercedes,0 days 00:40:19.089000,,1,1.0,,,False,True
0 days 00:43:36.114000,HAM,44,0 days 00:01:38.524000,6.0,1.0,,,0 days 00:00:26.128000,0 days 00:00:29.358000,0 days 00:00:43.038000,0 days 00:42:23.745000,0 days 00:42:53.103000,0 days 00:43:36.141000,267.0,259.0,257.0,304.0,False,MEDIUM,9.0,False,Mercedes,0 days 00:41:57.590000,,1,1.0,,,False,True
0 days 00:45:14.525000,HAM,44,0 days 00:01:38.411000,7.0,1.0,,,0 days 00:00:26.193000,0 days 00:00:29.288000,0 days 00:00:42.930000,0 days 00:44:02.334000,0 days 00:44:31.622000,0 days 00:45:14.552000,265.0,256.0,257.0,302.0,False,MEDIUM,10.0,False,Mercedes,0 days 00:43:36.114000,,1,1.0,,,False,True
0 days 00:46:52.821000,HAM,44,0 days 00:01:38.296000,8.0,1.0,,,0 days 00:00:26.152000,0 days 00:00:29.287000,0 days 00:00:42.857000,0 days 00:45:40.704000,0 days 00:46:09.991000,0 days 00:46:52.848000,266.0,257.0,258.0,301.0,False,MEDIUM,11.0,False,Mercedes,0 days 00:45:14.525000,,1,1.0,,,False,True
0 days 00:48:31.086000,HAM,44,0 days 00:01:38.265000,9.0,1.0,,,0 days 00:00:26.138000,0 days 00:00:29.275000,0 days 00:00:42.852000,0 days 00:47:18.986000,0 days 00:47:48.261000,0 days 00:48:31.113000,266.0,258.0,258.0,303.0,False,MEDIUM,12.0,False,Mercedes,0 days 00:46:52.821000,,1,1.0,,,False,True
0 days 00:50:09.680000,HAM,44,0 days 00:01:38.594000,10.0,1.0,,,0 days 00:00:26.270000,0 days 00:00:29.424000,0 days 00:00:42.900000,0 days 00:48:57.383000,0 days 00:49:26.807000,0 days 00:50:09.707000,263.0,255.0,257.0,300.0,False,MEDIUM,13.0,False,Mercedes,0 days 00:48:31.086000,,1,1.0,,,False,True
