X,Y,Minisector,Fastest
771.8714045386655,-570.2390169164453,0,VER
742.6628775388749,-616.0649875416404,0,VER
721.0,-650.0,0,VER
640.2592588719187,-776.2273059727007,0,VER
627.0,-797.0,0,VER
537.6951638750083,-937.5726041568944,0,VER
533.0,-945.0,0,VER
451.87659246354553,-1073.6727524440569,0,VER
439.0,-1094.0,0,VER
348.31529584999737,-1236.2217559458238,0,VER
344.0,-1243.0,0,VER
249.0,-1393.0,0,VER
244.63622374286345,-1399.9218143785515,0,VER
154.0,-1544.0,0,VER
142.34681754029236,-1562.4873353277717,0,VER
67.0,-1682.0,0,VER
45.06178581733919,-1717.019978665227,0,VER
-37.0,-1848.0,0,VER
-68.30533680978239,-1897.3153340297974,0,VER
-134.0,-2000.0,0,VER
-173.11694606553232,-2061.4677034478204,0,VER
-231.0,-2153.0,1,VER
-278.8740906253857,-2229.2929305786183,1,VER
-328.0,-2307.0,1,VER
-386.3796344228044,-2397.206728118537,1,VER
-427.0,-2460.0,1,VER
-493.3873045204906,-2564.3761950010553,1,VER
-516.0,-2600.0,1,VER
-600.9405984370878,-2733.0685707104026,1,VER
-615.0,-2755.0,1,VER
-704.3821126600288,-2894.302345520255,1,VER
-708.0,-2900.0,1,VER
-765.0,-2991.0,1,VER
-783.358725747676,-3019.784368679382,1,VER
-864.0,-3145.0,1,VER
-896.0416678641267,-3194.6114754280616,1,VER
-964.0,-3300.0,1,VER
-1003.9636326137751,-3362.472419908563,1,VER
-1063.0,-3455.0,1,VER
-1112.5585989537233,-3532.3112060311487,1,VER
-1163.0,-3611.0,1,VER
-1221.0326026787989,-3701.9666950408796,2,VER
-1262.0,-3766.0,2,VER
-1329.6611451864587,-3870.86404581877,2,VER
-1362.0,-3921.0,2,VER
-1438.9153259260577,-4040.9027013319856,2,VER
-1462.0,-4077.0,2,VER
-1547.0055969641078,-4210.116803745221,2,VER
-1561.0,-4232.0,2,VER
-1655.9992852962237,-4380.200995921039,2,VER
-1661.0,-4388.0,2,VER
-1761.0,-4544.0,2,VER
-1765.115554072754,-4550.416662548508,2,VER
-1861.0,-4700.0,2,VER
-1873.6484679020207,-4719.814693591313,2,VER
-1956.0,-4849.0,2,VER
-1978.6506980951058,-4884.297895946502,2,VER
-2061.0,-5012.0,2,VER
-2093.2587684420646,-5061.970894342028,2,VER
-2163.0,-5170.0,3,VER
-2205.4724908537605,-5235.83165537351,3,VER
-2268.0,-5333.0,3,VER
-2317.545541496644,-5410.468476904051,3,VER
-2367.0,-5488.0,3,VER
-2425.4236587084392,-5579.507130445571,3,VER
-2466.0,-5643.0,3,VER
-2533.585416935741,-5748.677983169726,3,VER
-2565.0,-5798.0,3,VER
-2640.803081596752,-5917.846143293951,3,VER
-2663.0,-5953.0,3,VER
-2746.893644214936,-6086.0249875709815,3,VER
-2760.0,-6107.0,3,VER
-2850.2605814712656,-6253.272503871203,3,VER
-2855.0,-6261.0,3,VER
-2949.0,-6415.0,3,VER
-2952.7283571257735,-6421.155151648325,3,VER
-3037.0,-6561.0,3,VER
-3048.2297033189748,-6579.573738488434,3,VER
-3120.0,-6697.0,3,VER
-3137.617299324408,-6725.17131969235,3,VER
-3197.0,-6817.0,4,ALB
-3220.513245532742,-6851.387679253981,4,ALB
-3271.0,-6921.0,4,ALB
-3300.999848371354,-6959.4778306480175,4,ALB
-3338.0,-7004.0,4,ALB
-3381.472813851222,-7052.416951196098,4,ALB
-3412.0,-7084.0,4,ALB
-3461.232811940109,-7130.610619048416,4,ALB
-3485.0,-7151.0,4,ALB
-3543.2506945572636,-7195.248320452781,4,ALB
-3561.0,-7207.0,4,ALB
-3627.0117443922645,-7243.165846882595,4,ALB
-3638.0,-7248.0,4,ALB
-3713.0864060786553,-7272.993634156561,4,ALB
-3717.0,-7274.0,4,ALB
-3795.0,-7286.0,4,ALB
-3798.3060556315572,-7285.963783028512,4,ALB
-3880.0,-7273.0,4,ALB
-3891.9428913674064,-7269.960566684448,4,ALB
-3974.0,-7244.0,4,ALB
-3995.38598496046,-7235.891298282445,4,ALB
-4068.0,-7205.0,4,ALB
-4094.3257007347815,-7192.89610357155,4,ALB
-4151.0,-7166.0,4,ALB
-4189.706671571817,-7148.223508896727,4,ALB
-4250.0,-7122.0,4,ALB
-4297.72146822206,-7103.449678479113,4,ALB
-4346.0,-7087.0,4,ALB
-4404.400150622227,-7070.10238298532,4,ALB
-4447.0,-7060.0,4,ALB
